usv_timestamp,vehicle_code,battery_voltage,battery_current,battery_percentage,rssi,mode,latitude,longitude,altitude,heading,armed,gps_ok,system_status,speed,roll,pitch,yaw,temperature_system,mqtt_publish_timestamp
2026-04-17T23:50:09.303Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.3,False,False,OK,0.0,-0.6,-1.9,123.3,0.0,2026-04-18T06:50:09.310
2026-04-17T23:50:10.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.8,123.3,False,False,OK,0.0,-0.6,-1.9,123.3,0.0,2026-04-18T06:50:10.305
2026-04-17T23:50:11.301Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.3,False,False,OK,0.0,-0.6,-1.9,123.3,0.0,2026-04-18T06:50:11.304
2026-04-17T23:50:12.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.8,123.3,False,False,OK,0.0,-0.6,-1.9,123.3,0.0,2026-04-18T06:50:12.305
2026-04-17T23:50:13.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.3,False,False,OK,0.0,-0.6,-1.9,123.3,0.0,2026-04-18T06:50:13.304
2026-04-17T23:50:14.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.8,123.3,False,False,OK,0.0,-0.6,-1.9,123.3,0.0,2026-04-18T06:50:14.304
2026-04-17T23:50:15.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.8,123.3,False,False,OK,0.0,-0.6,-1.9,123.3,0.0,2026-04-18T06:50:15.304
2026-04-17T23:50:16.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:16.304
2026-04-17T23:50:17.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:17.304
2026-04-17T23:50:18.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:18.304
2026-04-17T23:50:19.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:19.304
2026-04-17T23:50:20.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:20.304
2026-04-17T23:50:21.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.2,False,False,OK,0.0,-0.6,-1.9,123.2,0.0,2026-04-18T06:50:21.304
2026-04-17T23:50:22.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:22.304
2026-04-17T23:50:23.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:23.304
2026-04-17T23:50:24.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,18.0,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:24.304
2026-04-17T23:50:25.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.8,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:25.304
2026-04-17T23:50:26.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:26.304
2026-04-17T23:50:27.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.8,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:27.304
2026-04-17T23:50:28.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:28.304
2026-04-17T23:50:29.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:29.305
2026-04-17T23:50:30.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:30.304
2026-04-17T23:50:31.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.9,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:31.305
2026-04-17T23:50:32.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.8,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:32.304
2026-04-17T23:50:33.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:33.305
2026-04-17T23:50:34.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.1,False,False,OK,0.0,-0.5,-1.9,123.1,0.0,2026-04-18T06:50:34.304
2026-04-17T23:50:35.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:35.304
2026-04-17T23:50:36.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.0,False,False,OK,0.0,-0.6,-1.9,123.0,0.0,2026-04-18T06:50:36.304
2026-04-17T23:50:37.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.0,False,False,OK,0.0,-0.6,-1.9,123.0,0.0,2026-04-18T06:50:37.304
2026-04-17T23:50:38.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.0,False,False,OK,0.0,-0.6,-1.9,123.0,0.0,2026-04-18T06:50:38.304
2026-04-17T23:50:39.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.1,False,False,OK,0.0,-0.6,-1.9,123.1,0.0,2026-04-18T06:50:39.305
2026-04-17T23:50:40.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.6,123.0,False,False,OK,0.0,-0.6,-1.9,123.0,0.0,2026-04-18T06:50:40.305
2026-04-17T23:50:41.302Z,USV-001,0.0,0.0,0,0,AUTO,0.0,0.0,17.7,123.0,False,False,OK,0.0,-0.6,-1.9,123.0,0.0,2026-04-18T06:50:41.306
